millis,mA
37477,1.90
37479,1.70
37482,1.90
37484,2.00
37487,1.50
37490,2.00
37492,1.80
37495,1.50
37498,1.60
37500,2.00
37504,2.00
37506,1.20
37509,2.00
37512,2.40
37514,1.80
37517,1.70
37520,1.90
37522,1.70
37525,1.50
37527,1.60
37530,2.00
37533,2.50
37535,1.20
37538,2.10
37541,1.80
37543,1.80
37547,1.50
37549,2.30
37552,1.80
37555,1.20
37557,2.20
37560,1.90
37563,1.30
37565,1.90
37568,2.30
37570,1.70
37573,1.50
37576,1.80
37578,1.80
37581,1.60
37584,1.50
37586,2.00
37590,2.10
37592,1.40
37595,1.50
37598,2.20
37600,1.90
37603,1.60
37606,1.90
37608,2.00
37611,1.30
37613,1.40
37616,2.20
37619,1.70
37621,1.80
37624,2.00
37627,1.70
37629,2.00
37633,1.20
37635,2.30
37638,2.00
37641,1.60
37643,1.80
37646,2.00
37649,1.80
37651,1.80
37654,2.40
37656,1.70
37659,1.70
37662,1.80
37664,2.00
37667,1.80
37670,1.60
37672,1.90
37676,1.80
37679,1.80
37681,2.10
37684,2.20
37686,1.80
37689,1.40
37692,2.00
37694,2.10
37697,1.40
37700,1.60
37702,2.30
37705,2.00
37707,1.40
37710,2.10
37713,2.30
37715,1.50
37719,1.80
37722,2.40
37724,1.70
37727,2.00
37729,1.60
37732,1.90
37735,1.50
37737,1.80
37740,2.00
37742,2.10
37745,1.50
37748,1.90
37750,2.10
37753,1.70
37756,1.30
37758,-0.30
37762,1.60
37765,1.30
37767,1.00
37770,1.90
37772,1.80
37775,1.50
37778,2.10
37780,2.30
37783,2.20
37786,1.50
37788,2.20
37791,2.00
37793,1.40
37796,1.90
37799,2.40
37801,1.60
37805,1.30
37808,2.40
37810,2.00
37813,1.70
37815,1.30
37818,2.20
37821,1.80
37823,1.20
37826,2.10
37828,2.30
37831,2.00
37834,1.80
37836,2.20
37839,1.80
37842,1.60
37844,2.10
37848,1.90
37851,1.60
37853,1.70
37856,2.00
37858,1.40
37861,1.80
37864,-0.60
37866,1.40
37869,1.70
37872,0.80
37874,1.70
37877,1.70
37879,2.90
37882,1.70
37885,1.40
37888,2.40
37891,1.90
37894,1.30
37896,1.90
37899,1.90
37901,1.70
37904,2.10
37907,2.10
37909,1.70
37912,-1.00
37915,1.80
37917,2.00
37920,-1.10
37922,1.50
37925,2.20
37928,1.60
37931,1.70
37934,1.80
37937,2.30
37939,2.00
37942,1.70
37944,2.50
37947,2.10
37950,1.60
37952,2.70
37955,2.20
37958,1.80
37960,1.60
37963,2.00
37965,2.20
37968,1.80
37971,1.70
37974,2.20
37977,1.60
37980,1.40
37982,1.90
37985,2.00
37987,1.30
37990,1.20
37993,2.30
37995,1.80
37998,1.60
38001,1.20
38003,2.20
38006,2.00
38008,1.60
38011,2.00
38014,2.10
38017,1.80
38020,2.00
38023,1.90
38025,0.50
38028,1.20
38030,2.00
38033,0.10
38036,1.80
38038,1.80
38041,1.60
38043,1.80
38046,1.60
38049,1.60
38051,2.00
38054,1.60
38057,4.00
38060,2.20
38063,1.80
38066,2.50
38068,2.10
38071,2.00
38073,0.60
38076,1.60
38079,2.20
38081,-0.10
38084,1.50
38087,2.20
38089,1.80
38092,1.50
38094,1.70
38097,2.00
38100,1.90
38103,1.30
38106,3.40
38109,1.90
38111,2.20
38114,3.70
38116,2.00
38119,1.90
38122,1.60
38124,1.90
38127,2.10
38130,1.30
38132,1.60
38135,2.20
38137,1.60
38140,1.40
38144,2.20
38146,1.80
38149,1.80
38152,1.30
38154,2.30
38157,1.70
38159,1.70
38162,1.70
38165,2.30
38167,1.80
38170,1.40
38173,2.00
38175,2.00
38178,1.70
38180,1.70
38183,2.00
38187,1.60
38189,1.20
38192,2.00
38195,1.70
38197,1.70
38200,1.60
38202,2.00
38205,1.50
38208,1.70
38210,2.20
38213,1.80
38216,1.70
38218,4.20
38221,2.40
38223,1.80
38226,2.90
38230,2.00
38232,1.90
38235,1.10
38238,1.50
38240,2.20
38243,1.80
38245,1.60
38248,1.50
38251,1.60
38253,1.40
38256,1.50
38259,1.90
38261,1.80
38264,1.50
38266,4.00
38269,2.10
38273,1.90
38275,4.30
38278,1.90
38281,1.90
38283,1.60
38286,1.70
38288,2.10
38291,1.80
38294,1.70
38296,1.60
38299,2.20
38302,2.10
38304,1.80
38307,1.80
38309,2.10
38312,1.70
38316,1.60
38318,1.80
38321,1.90
38324,1.60
38326,1.80
38329,1.80
38331,1.90
38334,1.50
38337,2.10
38339,2.00
38342,1.60
38345,1.50
38347,2.00
38350,1.60
38352,1.20
38355,2.00
38359,1.80
38361,1.90
38364,1.20
38367,1.90
38369,2.00
38372,1.20
38374,2.10
38377,1.90
38380,1.50
38382,1.40
38385,2.40
38388,1.60
38390,1.00
38393,1.80
38395,2.20
38398,1.60
38402,1.50
38404,1.90
38407,1.80
38410,1.50
38412,1.30
38415,2.00
38417,2.00
38420,1.70
38423,2.20
38425,1.50
38428,1.80
38431,1.40
38433,1.90
38436,2.10
38438,1.80
38441,2.00
38445,1.80
38447,1.50
38450,1.80
38453,1.60
38455,2.10
38458,1.30
38460,1.80
38463,2.30
38466,1.80
38468,1.40
38471,2.10
38474,2.00
38476,1.20
38479,1.80
38481,1.80
38484,1.70
38488,1.50
38490,2.00
38493,2.00
38496,1.60
38498,1.30
38501,1.80
38503,2.50
38506,1.60
38509,1.60
38511,2.30
38514,1.60
38517,1.60
38519,2.00
38522,1.90
38524,1.60
38528,1.80
38531,2.30
38533,1.80
38536,1.90
38539,2.00
38541,2.10
38544,1.70
38546,1.60
38549,2.20
38552,2.40
38554,1.10
38557,1.60
38560,2.30
38562,1.70
38565,1.70
38567,1.70
38571,2.10
38574,1.70
38576,1.70
38579,2.10
38582,2.00
38584,1.70
38587,1.90
38589,1.60
